idnovel,date,score
1,2020-01-01,0
1,2020-02-01,0
1,2020-03-01,0
1,2020-04-01,0
1,2020-05-01,0
1,2020-06-01,0
1,2020-07-01,0
1,2020-08-01,0
1,2020-09-01,0
1,2020-10-01,0
2,2020-01-01,0
2,2020-02-01,45.2
2,2020-03-01,0
2,2020-04-01,0
2,2020-05-01,0
2,2020-06-01,0
2,2020-07-01,9.78
2,2020-08-01,0
2,2020-09-01,0
2,2020-10-01,0
3,2020-01-01,0
3,2020-02-01,0
3,2020-03-01,0
3,2020-04-01,0
3,2020-05-01,0
3,2020-06-01,0
3,2020-07-01,0
3,2020-08-01,0
3,2020-09-01,0
3,2020-10-01,0
4,2020-01-01,0
4,2020-02-01,0
4,2020-03-01,0
4,2020-04-01,0
4,2020-05-01,0
4,2020-06-01,0
4,2020-07-01,0
4,2020-08-01,0
4,2020-09-01,0
4,2020-10-01,0
5,2020-01-01,45.87
5,2020-02-01,48.53
5,2020-03-01,65.06
5,2020-04-01,48.23
5,2020-05-01,31.57
5,2020-06-01,32.54
5,2020-07-01,44.16
5,2020-08-01,46.24
5,2020-09-01,52.09
5,2020-10-01,62.85
6,2020-01-01,84.38
6,2020-02-01,0
6,2020-03-01,38.01
6,2020-04-01,0
6,2020-05-01,0
6,2020-06-01,0
6,2020-07-01,29.74
6,2020-08-01,0
6,2020-09-01,0
6,2020-10-01,0
7,2020-01-01,21.62
7,2020-02-01,0
7,2020-03-01,40.46
7,2020-04-01,0
7,2020-05-01,1.24
7,2020-06-01,0
7,2020-07-01,24.47
7,2020-08-01,0
7,2020-09-01,0
7,2020-10-01,74.61
8,2020-01-01,43.43
8,2020-02-01,38.25
8,2020-03-01,39.31
8,2020-04-01,38.9
8,2020-05-01,30.81
8,2020-06-01,39.64
8,2020-07-01,38.21
8,2020-08-01,32.86
8,2020-09-01,33.58
8,2020-10-01,34.36
9,2020-01-01,60.26
9,2020-02-01,52.68
9,2020-03-01,55.56
9,2020-04-01,57.03
9,2020-05-01,51.06
9,2020-06-01,51.25
9,2020-07-01,59.34
9,2020-08-01,54.12
9,2020-09-01,49.22
9,2020-10-01,52.88
10,2020-01-01,0
10,2020-02-01,0
10,2020-03-01,44.82
10,2020-04-01,59.97
10,2020-05-01,53.04
10,2020-06-01,70.17
10,2020-07-01,59.99
10,2020-08-01,45.34
10,2020-09-01,39.49
10,2020-10-01,27.74
11,2020-01-01,0
11,2020-02-01,45.65
11,2020-03-01,45.77
11,2020-04-01,43.31
11,2020-05-01,45.61
11,2020-06-01,43.1
11,2020-07-01,43.12
11,2020-08-01,45.63
11,2020-09-01,47.41
11,2020-10-01,63.49
12,2020-01-01,46.39
12,2020-02-01,51.89
12,2020-03-01,46.96
12,2020-04-01,45.44
12,2020-05-01,47.37
12,2020-06-01,54.13
12,2020-07-01,47.99
12,2020-08-01,49.13
12,2020-09-01,43.39
12,2020-10-01,42.61
13,2020-01-01,0
13,2020-02-01,80.11
13,2020-03-01,0
13,2020-04-01,10.67
13,2020-05-01,0
13,2020-06-01,0
13,2020-07-01,0
13,2020-08-01,0
13,2020-09-01,0
13,2020-10-01,0
14,2020-01-01,0
14,2020-02-01,0
14,2020-03-01,45.92
14,2020-04-01,43.68
14,2020-05-01,44.74
14,2020-06-01,59.65
14,2020-07-01,45.67
14,2020-08-01,42.75
14,2020-09-01,43.31
14,2020-10-01,28.77
15,2020-01-01,0
15,2020-02-01,50.53
15,2020-03-01,58.24
15,2020-04-01,49.06
15,2020-05-01,58.22
15,2020-06-01,51.34
15,2020-07-01,60.95
15,2020-08-01,80.37
15,2020-09-01,36.63
15,2020-10-01,44.69
16,2020-01-01,0
16,2020-02-01,34.29
16,2020-03-01,43.45
16,2020-04-01,42.03
16,2020-05-01,44.03
16,2020-06-01,44.72
16,2020-07-01,47
16,2020-08-01,78.18
16,2020-09-01,25.05
16,2020-10-01,25.83
17,2020-01-01,56.88
17,2020-02-01,53.51
17,2020-03-01,51.02
17,2020-04-01,58.8
17,2020-05-01,53.62
17,2020-06-01,53.79
17,2020-07-01,53.09
17,2020-08-01,59.68
17,2020-09-01,51.53
17,2020-10-01,53.84
18,2020-01-01,44.87
18,2020-02-01,45.21
18,2020-03-01,47.06
18,2020-04-01,43.89
18,2020-05-01,47.09
18,2020-06-01,46.27
18,2020-07-01,49.2
18,2020-08-01,51.45
18,2020-09-01,44.21
18,2020-10-01,40.95
19,2020-01-01,64.99
19,2020-02-01,50.88
19,2020-03-01,51.05
19,2020-04-01,49.68
19,2020-05-01,50.7
19,2020-06-01,50.44
19,2020-07-01,61.03
19,2020-08-01,58.39
19,2020-09-01,59.32
19,2020-10-01,55.57
20,2020-01-01,0
20,2020-02-01,46.93
20,2020-03-01,41.27
20,2020-04-01,46.35
20,2020-05-01,52.3
20,2020-06-01,49.19
20,2020-07-01,51.61
20,2020-08-01,47.59
20,2020-09-01,44.91
20,2020-10-01,51.58
21,2020-01-01,49.38
21,2020-02-01,50.8
21,2020-03-01,60.88
21,2020-04-01,47.37
21,2020-05-01,57.29
21,2020-06-01,63.92
21,2020-07-01,47.19
21,2020-08-01,62.46
21,2020-09-01,57.7
21,2020-10-01,41.04
22,2020-01-01,43.02
22,2020-02-01,68.45
22,2020-03-01,49.16
22,2020-04-01,50.61
22,2020-05-01,39.59
22,2020-06-01,56.18
22,2020-07-01,38.53
22,2020-08-01,22.57
22,2020-09-01,48.09
22,2020-10-01,27.75
23,2020-01-01,87.41
23,2020-02-01,29.12
23,2020-03-01,0.47
23,2020-04-01,57.08
23,2020-05-01,0.55
23,2020-06-01,0
23,2020-07-01,0
23,2020-08-01,0
23,2020-09-01,0
23,2020-10-01,0
24,2020-01-01,57.33
24,2020-02-01,0
24,2020-03-01,48.42
24,2020-04-01,50.97
24,2020-05-01,52.19
24,2020-06-01,47.07
24,2020-07-01,72.52
24,2020-08-01,49.47
24,2020-09-01,51.13
24,2020-10-01,18.39
25,2020-01-01,0
25,2020-02-01,0
25,2020-03-01,0
25,2020-04-01,0
25,2020-05-01,0
25,2020-06-01,0
25,2020-07-01,0
25,2020-08-01,44.36
25,2020-09-01,50.53
25,2020-10-01,0
26,2020-01-01,0
26,2020-02-01,0
26,2020-03-01,38.61
26,2020-04-01,44.75
26,2020-05-01,0
26,2020-06-01,0
26,2020-07-01,36.05
26,2020-08-01,22.39
26,2020-09-01,95.64
26,2020-10-01,12.31
27,2020-01-01,0
27,2020-02-01,0
27,2020-03-01,7.57
27,2020-04-01,0
27,2020-05-01,0
27,2020-06-01,0
27,2020-07-01,0
27,2020-08-01,0
27,2020-09-01,0
27,2020-10-01,0
28,2020-01-01,0
28,2020-02-01,0
28,2020-03-01,47.92
28,2020-04-01,49.73
28,2020-05-01,66.9
28,2020-06-01,49.17
28,2020-07-01,46.1
28,2020-08-01,30.23
28,2020-09-01,51.96
28,2020-10-01,39.99
29,2020-01-01,36.73
29,2020-02-01,40.14
29,2020-03-01,33.66
29,2020-04-01,0
29,2020-05-01,0
29,2020-06-01,46.99
29,2020-07-01,2.32
29,2020-08-01,39.59
29,2020-09-01,80.38
29,2020-10-01,21.47
30,2020-01-01,74.6
30,2020-02-01,0
30,2020-03-01,0
30,2020-04-01,0
30,2020-05-01,0
30,2020-06-01,0
30,2020-07-01,41.22
30,2020-08-01,45.01
30,2020-09-01,95.32
30,2020-10-01,1.93
31,2020-01-01,0
31,2020-02-01,0
31,2020-03-01,46.78
31,2020-04-01,0
31,2020-05-01,0
31,2020-06-01,36.47
31,2020-07-01,68.57
31,2020-08-01,43.75
31,2020-09-01,0
31,2020-10-01,0
32,2020-01-01,0
32,2020-02-01,0
32,2020-03-01,0
32,2020-04-01,54.68
32,2020-05-01,48.04
32,2020-06-01,53.01
32,2020-07-01,46.04
32,2020-08-01,15.68
32,2020-09-01,36.29
32,2020-10-01,63.37
33,2020-01-01,0
33,2020-02-01,0
33,2020-03-01,58.69
33,2020-04-01,51.51
33,2020-05-01,48.47
33,2020-06-01,44.15
33,2020-07-01,43.27
33,2020-08-01,74.49
33,2020-09-01,9.99
33,2020-10-01,5.4
34,2020-01-01,63.71
34,2020-02-01,58.74
34,2020-03-01,52.73
34,2020-04-01,52.59
34,2020-05-01,45.79
34,2020-06-01,38.45
34,2020-07-01,0
34,2020-08-01,61.48
34,2020-09-01,0
34,2020-10-01,13.74
35,2020-01-01,0
35,2020-02-01,66.01
35,2020-03-01,58.72
35,2020-04-01,63.93
35,2020-05-01,58.25
35,2020-06-01,58.98
35,2020-07-01,53.24
35,2020-08-01,59.04
35,2020-09-01,62.05
35,2020-10-01,56.34
36,2020-01-01,0
36,2020-02-01,0
36,2020-03-01,0
36,2020-04-01,56.08
36,2020-05-01,74.7
36,2020-06-01,56.94
36,2020-07-01,72.71
36,2020-08-01,56.89
36,2020-09-01,68.27
36,2020-10-01,0
37,2020-01-01,68.66
37,2020-02-01,52.56
37,2020-03-01,46.41
37,2020-04-01,45.26
37,2020-05-01,73.68
37,2020-06-01,54.89
37,2020-07-01,78.86
37,2020-08-01,53.37
37,2020-09-01,0
37,2020-10-01,9.07
38,2020-01-01,0
38,2020-02-01,0
38,2020-03-01,0
38,2020-04-01,0
38,2020-05-01,70.75
38,2020-06-01,60.09
38,2020-07-01,39.29
38,2020-08-01,26.45
38,2020-09-01,0
38,2020-10-01,45.45
39,2020-01-01,0
39,2020-02-01,0
39,2020-03-01,0
39,2020-04-01,31.09
39,2020-05-01,28.9
39,2020-06-01,12.73
39,2020-07-01,0
39,2020-08-01,29.25
39,2020-09-01,20.88
39,2020-10-01,0
40,2020-01-01,53.26
40,2020-02-01,46.76
40,2020-03-01,49.48
40,2020-04-01,48.15
40,2020-05-01,47.78
40,2020-06-01,7.36
40,2020-07-01,43.46
40,2020-08-01,42.16
40,2020-09-01,53.22
40,2020-10-01,34.36
41,2020-01-01,55.36
41,2020-02-01,36.33
41,2020-03-01,57.62
41,2020-04-01,45.8
41,2020-05-01,46.64
41,2020-06-01,46.29
41,2020-07-01,51.25
41,2020-08-01,50.67
41,2020-09-01,49.61
41,2020-10-01,46.57
42,2020-01-01,48.96
42,2020-02-01,62.35
42,2020-03-01,40.25
42,2020-04-01,45.24
42,2020-05-01,32.32
42,2020-06-01,44.07
42,2020-07-01,54.02
42,2020-08-01,36.1
42,2020-09-01,40.95
42,2020-10-01,0
43,2020-01-01,52.24
43,2020-02-01,54.55
43,2020-03-01,52.19
43,2020-04-01,47.9
43,2020-05-01,50.81
43,2020-06-01,52.13
43,2020-07-01,53.45
43,2020-08-01,56.53
43,2020-09-01,46.97
43,2020-10-01,45.08
44,2020-01-01,43.12
44,2020-02-01,49.28
44,2020-03-01,42.69
44,2020-04-01,48.67
44,2020-05-01,55.17
44,2020-06-01,46.1
44,2020-07-01,45.51
44,2020-08-01,58.22
44,2020-09-01,42.93
44,2020-10-01,45.05
45,2020-01-01,0
45,2020-02-01,0
45,2020-03-01,44.53
45,2020-04-01,70.96
45,2020-05-01,69.73
45,2020-06-01,59.31
45,2020-07-01,61.61
45,2020-08-01,57.56
45,2020-09-01,37.74
